Date,expiryDate,Symbol,Type,CMP,strikePrice,Support,Dist_from_Support,Resistance,Dist_from_Resist,PCR,RSI,MACD,MACD_Signal,MACD_Hist,BB_HI,BB_MID,BB_LO
03-10-2025,28-10-2025,ICICIBANK,Non-Hld,1365,1400,1346.6,1.37,1453.4,6.48,0.89,36.69,-15.65,-12.12,-3.53,1440.22,1393.18,1346.15
03-10-2025,28-10-2025,ICICIGI,Non-Hld,1910.6,1900,1803.7,5.93,1996.3,4.49,0.71,55.7,3.34,-1.6,4.94,1921.29,1874.32,1827.34
03-10-2025,28-10-2025,ICICIPRULI,Non-Hld,602,620,584.3,3.03,655.7,8.93,1.11,48.57,-4.78,-5.41,0.63,609.76,598.78,587.8
03-10-2025,28-10-2025,IDEA,Non-Hld,8.84,10,8.2,7.81,11.8,33.49,0.74,65.69,0.4,0.37,0.03,9.05,8.02,6.99
03-10-2025,28-10-2025,IDFCFIRSTB,Non-Hld,69.15,70,66.15,4.54,73.85,6.8,0.88,40.39,-0.46,-0.17,-0.29,73.87,71.08,68.29
03-10-2025,28-10-2025,IEX,Holding,143.69,150,139.75,2.82,160.25,11.53,0.51,49.23,-1.57,-1.58,0.02,150.23,143.62,137.01
03-10-2025,28-10-2025,IGL,Non-Hld,209.5,210,198.35,5.63,221.65,5.8,0.59,49.25,-0.48,0.06,-0.55,217.97,210.59,203.22
03-10-2025,28-10-2025,IIFL,Non-Hld,458,470,437.7,4.64,502.3,9.68,0.67,55.09,-1.13,-3.39,2.27,460.98,443.76,426.53
03-10-2025,28-10-2025,INDHOTEL,Non-Hld,725,800,724.25,0.11,875.75,20.8,0.8,35.26,-12.78,-7.13,-5.65,809.2,758.2,707.21
03-10-2025,28-10-2025,INDIANB,Non-Hld,767.4,750,707.3,8.5,792.7,3.3,0.42,75.04,20.32,15.35,4.96,753.51,704.58,655.64
03-10-2025,28-10-2025,INDIGO,Holding,5652,5800,5554.85,1.75,6045.15,6.96,0.81,46.24,-44.15,-42.14,-2.01,5783.05,5679,5574.95
03-10-2025,28-10-2025,INDUSINDBK,Non-Hld,748,800,739.25,1.19,860.75,15.08,0.56,49.42,-8.74,-11.22,2.48,761.53,741.43,721.34
03-10-2025,28-10-2025,INDUSTOWER,Non-Hld,354.6,370,345.75,2.56,394.25,11.19,0.69,51.47,-0.09,-0.06,-0.03,364.87,352.32,339.77
03-10-2025,28-10-2025,INFY,Non-Hld,1445.5,1500,1405.5,2.85,1594.5,10.31,0.79,39.69,-12.84,-5.28,-7.55,1561.15,1488.7,1416.24
03-10-2025,28-10-2025,INOXWIND,Non-Hld,142.11,140,130.1,9.24,149.9,5.49,0.77,42.1,-1.9,-1.21,-0.69,155.44,146.35,137.26
03-10-2025,28-10-2025,IOC,Non-Hld,150.4,150,143.2,5.03,156.8,4.26,0.71,67.62,2.07,1.65,0.42,152.19,145.67,139.16
03-10-2025,28-10-2025,IRCTC,Holding,708.4,800,711.3,-0.4,888.7,25.46,0.85,41.32,-4.97,-3.34,-1.63,738.97,717.66,696.35
03-10-2025,28-10-2025,IREDA,Non-Hld,154.31,155,143.9,7.24,166.1,7.65,0.63,56.18,0.87,0.94,-0.07,160.09,151.08,142.07
03-10-2025,28-10-2025,IRFC,Non-Hld,126,130,121.95,3.33,138.05,9.57,0.68,50.04,-0.37,-0.25,-0.12,130.55,126.14,121.74
03-10-2025,28-10-2025,ITC,Non-Hld,404.6,410,398.1,1.64,421.9,4.28,0.61,45.84,-1.74,-1.39,-0.35,416.76,407.96,399.15
03-10-2025,28-10-2025,JINDALSTEL,Non-Hld,1077,1080,1024.65,5.11,1135.35,5.42,0.53,63.14,15.95,15.24,0.71,1071.4,1046.55,1021.7
03-10-2025,28-10-2025,JIOFIN,Non-Hld,302.6,300,284.65,6.31,315.35,4.22,0.89,40.48,-4.92,-3.78,-1.14,323.09,308.06,293.02
03-10-2025,28-10-2025,JSWENERGY,Non-Hld,540.9,550,519.4,4.14,580.6,7.34,0.61,57.74,3.97,3.7,0.27,553.22,529.17,505.13
03-10-2025,28-10-2025,JSWSTEEL,Non-Hld,1160.8,1200,1138.35,1.98,1261.65,8.69,1.17,70.17,21.52,19.93,1.59,1164.01,1120.29,1076.56
03-10-2025,28-10-2025,JUBLFOOD,Non-Hld,628.05,700,629.75,-0.26,770.25,22.65,0.82,48.96,-6.8,-6.61,-0.19,665.23,631.98,598.72
03-10-2025,28-10-2025,KALYANKJIL,Non-Hld,490.55,500,463.25,5.9,536.75,9.42,0.65,48.61,-15.05,-14.21,-0.83,536.37,492.2,448.02
03-10-2025,28-10-2025,KAYNES,Non-Hld,7285,7000,6408.6,13.68,7591.4,4.21,0.78,61,190.14,233.34,-43.2,7464.5,7173.92,6883.35
03-10-2025,28-10-2025,KEI,Non-Hld,4048.5,4200,3937.35,2.83,4462.65,10.23,0.44,48.81,24.51,45.4,-20.89,4208.56,4098.77,3988.99
03-10-2025,28-10-2025,KFINTECH,Holding,1068,1100,1014.55,5.27,1185.45,11,0.62,44.31,-11.4,-9.26,-2.14,1145.29,1092.94,1040.59
03-10-2025,28-10-2025,KOTAKBANK,Non-Hld,2108,2100,2014.2,4.66,2185.8,3.7,0.48,66.54,13.09,5.05,8.04,2090.39,2007.97,1925.55
03-10-2025,28-10-2025,KPITTECH,Non-Hld,1156,1200,1118.3,3.38,1281.7,10.88,0.55,39.66,-17.84,-3.13,-14.71,1335.67,1236.5,1137.34
03-10-2025,28-10-2025,LAURUSLABS,Non-Hld,869.9,900,838.2,3.79,961.8,10.57,1.08,46.47,-1.95,5.31,-7.27,940.51,888.84,837.16
03-10-2025,28-10-2025,LICHSGFIN,Non-Hld,579.5,600,572.1,1.3,627.9,8.36,0.72,54.84,1.56,1.51,0.06,593.8,571.83,549.86
03-10-2025,28-10-2025,LICI,Non-Hld,905.5,900,859.2,5.39,940.8,3.9,0.86,58.63,3.64,1.14,2.5,909.24,887.72,866.21
03-10-2025,28-10-2025,LODHA,Non-Hld,1112.2,1200,1098.5,1.25,1301.5,17.03,0.64,30.33,-25.19,-20.65,-4.54,1231.01,1175.19,1119.37
03-10-2025,28-10-2025,LT,Non-Hld,3742.9,3700,3556.2,5.25,3843.8,2.7,0.56,61.56,28.25,22.06,6.19,3764.21,3633.96,3503.71
03-10-2025,28-10-2025,LTF,Non-Hld,262.9,250,229.45,14.58,270.55,2.91,0.64,75.71,8.88,8.14,0.74,259.36,242.55,225.75
03-10-2025,28-10-2025,LTIM,Non-Hld,5117.5,6000,5994.5,-14.63,6005.5,17.36,0.74,42.76,-20.02,9.27,-29.28,5512.35,5257.6,5002.85
03-10-2025,28-10-2025,LUPIN,Non-Hld,1975,2000,1909.35,3.44,2090.65,5.86,0.51,50.42,-0.21,7.77,-7.98,2078.24,1988.78,1899.33
