Date,expiryDate,Symbol,Type,CMP,CMP_chg,CMP_pct_chg,CMP_trend,strikePrice,strikePrice_trend,Support,Support_chg,Support_pct_chg,Support_trend,Dist_from_Support,Dist_from_Support_trend,Resistance,Resistance_chg,Resistance_pct_chg,Resistance_trend,Dist_from_Resist,Dist_from_Resist_trend,PCR,PCR_trend,RSI,RSI_trend,MACD,MACD_trend,MACD_Signal,MACD_Signal_trend,MACD_Hist,MACD_Hist_trend,BB_HI,BB_HI_chg,BB_HI_pct_chg,BB_HI_trend,BB_MID,BB_MID_chg,BB_MID_pct_chg,BB_MID_trend,BB_LO,Sentiment,Call_B,Call_S,Puts_W,Puts_L,Call_W,Call_L,Puts_B,Puts_S,Tot_Strikes,BB-FnO
03-10-2025,28-Oct-25,ASIANPAINT,Non-Hld,2358.1,,,unchanged,2500,unchanged,2344.4,,,unchanged,0.59,unchanged,2655.6,,,unchanged,12.62,unchanged,0.85,unchanged,33.68,unchanged,-41.71,unchanged,-24.06,unchanged,-17.65,unchanged,2618.96,,,unchanged,2462.54,,,unchanged,2306.12,,,,,,,,,,,Neutral (BB_MID Between Res-Sup)
03-10-2025,28-Oct-25,ASTRAL,Non-Hld,1385.1,,,unchanged,1500,unchanged,1374.5,,,unchanged,0.78,unchanged,1625.5,,,unchanged,17.36,unchanged,0.78,unchanged,41.37,unchanged,-11.39,unchanged,-2.05,unchanged,-9.34,unchanged,1502.85,,,unchanged,1430.64,,,unchanged,1358.44,,,,,,,,,,,Neutral (BB_MID Between Res-Sup)
03-10-2025,28-Oct-25,AUBANK,Non-Hld,740.5,,,unchanged,740,unchanged,695.7,,,unchanged,6.44,unchanged,784.3,,,unchanged,5.92,unchanged,0.85,unchanged,56.62,unchanged,1.96,unchanged,-1.48,unchanged,3.44,unchanged,750.09,,,unchanged,719.48,,,unchanged,688.86,,,,,,,,,,,Neutral (BB_MID Between Res-Sup)
03-10-2025,28-Oct-25,AUROPHARMA,Non-Hld,1095,,,unchanged,1100,unchanged,1043.2,,,unchanged,4.97,unchanged,1156.8,,,unchanged,5.65,unchanged,0.72,unchanged,52.91,unchanged,5.37,unchanged,6.37,unchanged,-1.01,unchanged,1138.59,,,unchanged,1088.78,,,unchanged,1038.96,,,,,,,,,,,Neutral (BB_MID Between Res-Sup)
03-10-2025,28-Oct-25,AXISBANK,Non-Hld,1183,,,unchanged,1160,unchanged,1103.05,,,unchanged,7.25,unchanged,1216.95,,,unchanged,2.87,unchanged,0.76,unchanged,69.28,unchanged,21.34,unchanged,17.58,unchanged,3.76,unchanged,1200.8,,,unchanged,1122.3,,,unchanged,1043.79,,,,,,,,,,,Neutral (BB_MID Between Res-Sup)
03-10-2025,28-Oct-25,BAJAJ-AUTO,Non-Hld,8685,,,unchanged,9000,unchanged,8515,,,unchanged,2,unchanged,9485,,,unchanged,9.22,unchanged,0.53,unchanged,42.23,unchanged,-25.01,unchanged,43.76,unchanged,-68.77,unchanged,9426.42,,,unchanged,8980.52,,,unchanged,8534.63,,,,,,,,,,,Volatile Wide Range (BB within Res-Support)
03-10-2025,28-Oct-25,BAJAJFINSV,Non-Hld,1994.2,,,unchanged,2100,unchanged,1983.3,,,unchanged,0.55,unchanged,2216.7,,,unchanged,11.16,unchanged,0.91,unchanged,45.02,unchanged,6.04,unchanged,15.94,unchanged,-9.9,unchanged,2102.31,,,unchanged,2043.02,,,unchanged,1983.72,,,,,,,,,,,Volatile Wide Range (BB within Res-Support)
03-10-2025,28-Oct-25,BAJFINANCE,Non-Hld,990,,,unchanged,1000,unchanged,949.25,,,unchanged,4.3,unchanged,1050.75,,,unchanged,6.14,unchanged,0.68,unchanged,56.26,unchanged,19.49,unchanged,23.97,unchanged,-4.48,unchanged,1039.96,,,unchanged,990.41,,,unchanged,940.86,,,,,,,,,,,Neutral (BB_MID Between Res-Sup)
03-10-2025,28-Oct-25,BANDHANBNK,Non-Hld,165.8,,,unchanged,170,unchanged,158.75,,,unchanged,4.45,unchanged,181.25,,,unchanged,9.32,unchanged,0.93,unchanged,53.78,unchanged,-1.2,unchanged,-1.66,unchanged,0.46,unchanged,169.39,,,unchanged,163.13,,,unchanged,156.87,,,,,,,,,,,Neutral (BB_MID Between Res-Sup)
03-10-2025,28-Oct-25,BANKBARODA,Non-Hld,263.8,,,unchanged,260,unchanged,245.4,,,unchanged,7.5,unchanged,274.6,,,unchanged,4.1,unchanged,0.73,unchanged,73.69,unchanged,5.3,unchanged,3.61,unchanged,1.69,unchanged,265.04,,,unchanged,246.99,,,unchanged,228.94,,,,,,,,,,,Neutral (BB_MID Between Res-Sup)
