Date,expiryDate,Symbol,Type,CMP,strikePrice,Support,Dist_from_Support,Resistance,Dist_from_Resist,PCR,RSI,MACD,MACD_Signal,MACD_Hist,BB_HI,BB_MID,BB_LO,Sentiment,Call_B,Call_S,Puts_W,Puts_L,Call_W,Call_L,Puts_B,Puts_S,Tot_Strikes
03-Oct-25,28-Oct-25,BIOCON,Non-Hld,351.6,350,332.05,5.89,367.95,4.66,0.78,46.47,-4.43,-3.19,-1.23,375.75,357.58,339.4,,,,,,,,,,
03-Oct-25,28-Oct-25,BLUESTARCO,Non-Hld,1899,2000,1853.55,2.46,2146.45,13.04,0.82,49.35,6.39,17.11,-10.72,1986.67,1916.52,1846.36,,,,,,,,,,
03-Oct-25,28-Oct-25,BOSCHLTD,Non-Hld,38555,40000,38064.2,1.29,41935.8,8.77,0.76,43.1,-336.21,-120.45,-215.76,41700.59,39597.75,37494.91,,,,,,,,,,
03-Oct-25,28-Oct-25,BPCL,Non-Hld,342,350,331.35,3.22,368.65,7.8,0.85,68.6,5.26,3.23,2.03,343.22,325.64,308.06,,,,,,,,,,
03-Oct-25,28-Oct-25,BRITANNIA,Non-Hld,5985,6000,5756.05,3.98,6243.95,4.33,0.62,52.93,34.39,65.41,-31.02,6299.62,6073.82,5848.03,,,,,,,,,,
03-Oct-25,28-Oct-25,BSE,Holding,2097,2100,1903.1,10.19,2296.9,9.54,0.57,40.7,-67.9,-67.18,-0.72,2362.45,2171.03,1979.61,,,,,,,,,,
03-Oct-25,28-Oct-25,CAMS,Holding,3819,3800,3575.85,6.8,4024.15,5.38,0.66,44.81,-15.56,1.47,-17.03,4077.83,3890.04,3702.25,,,,,,,,,,
03-Oct-25,28-Oct-25,CANBK,Non-Hld,125.98,120,110.5,14.01,129.5,2.8,0.55,71.66,3.84,3.01,0.83,127.91,116.46,105.01,,,,,,,,,,
03-Oct-25,28-Oct-25,CDSL,Holding,1489.8,1500,1415.05,5.29,1584.95,6.39,0.49,42.87,-19.15,-12.69,-6.47,1605.31,1528.8,1452.3,,,,,,,,,,
03-Oct-25,28-Oct-25,CGPOWER,Holding,748.35,840,737.7,1.45,942.3,25.92,0.67,51.39,8.27,15.6,-7.33,804.54,764.48,724.42,,,,,,,,,,
03-Oct-25,28-Oct-25,CHOLAFIN,Non-Hld,1572,1500,1405,11.89,1595,1.47,0.53,52.7,26.1,26.68,-0.58,1659.05,1564.98,1470.9,,,,,,,,,,
03-Oct-25,28-Oct-25,CIPLA,Non-Hld,1517.5,1600,1513.6,0.26,1686.4,11.14,0.56,44.38,-12.34,-6.8,-5.54,1593.31,1540.24,1487.16,,,,,,,,,,
03-Oct-25,28-Oct-25,COALINDIA,Holding,383.9,400,381.2,0.71,418.8,9.1,0.73,41.89,1.29,2.89,-1.6,399.19,391.93,384.66,,,,,,,,,,
03-Oct-25,28-Oct-25,COFORGE,Non-Hld,1614.9,1800,1597.7,1.08,2002.3,23.99,0.65,41.37,-38.74,-24.5,-14.24,1862.83,1688.07,1513.31,,,,,,,,,,
03-Oct-25,28-Oct-25,COLPAL,Non-Hld,2214.5,2300,2182.1,1.49,2417.9,9.19,0.62,34,-29.75,-12.17,-17.59,2459.66,2324.31,2188.96,,,,,,,,,,
03-Oct-25,28-Oct-25,CONCOR,Non-Hld,534.15,530,502.45,6.31,557.55,4.39,0.68,42.38,-7.09,-5.67,-1.42,568.73,543.04,517.36,,,,,,,,,,
03-Oct-25,28-Oct-25,CROMPTON,Non-Hld,295,300,283.45,4.08,316.55,7.31,0.67,30.45,-8.4,-6.89,-1.51,331.49,308.74,286,,,,,,,,,,
03-Oct-25,28-Oct-25,CUMMINSIND,Non-Hld,3929,4000,3805.75,3.24,4194.25,6.76,0.76,49.62,21.7,51.21,-29.5,4139.54,4004.32,3869.11,,,,,,,,,,
03-Oct-25,28-Oct-25,CYIENT,Non-Hld,1174.7,1300,1155.75,1.64,1444.25,22.95,0.85,44.48,-15.68,-9.35,-6.33,1278.73,1197.07,1115.41,,,,,,,,,,
03-Oct-25,28-Oct-25,DABUR,Non-Hld,496,500,478.1,3.75,521.9,5.23,0.7,33.43,-8.82,-3.93,-4.89,564.62,524.37,484.12,,,,,,,,,,
03-Oct-25,28-Oct-25,DALBHARAT,Non-Hld,2250,2400,2231.3,0.84,2568.7,14.17,0.74,37.18,-29.76,-7.04,-22.71,2522.28,2354.33,2186.38,,,,,,,,,,
03-Oct-25,28-Oct-25,DELHIVERY,Non-Hld,437.6,450,420.6,4.05,479.4,9.56,0.85,37.05,-5.73,-0.99,-4.74,491.28,462.39,433.49,,,,,,,,,,
03-Oct-25,28-Oct-25,DIVISLAB,Non-Hld,5851.5,6000,5712.2,2.44,6287.8,7.46,0.58,42.68,-109.5,-89.36,-20.14,6267.37,5965.48,5663.58,,,,,,,,,,
03-Oct-25,28-Oct-25,DIXON,Non-Hld,16597,18000,16366.2,1.42,19633.8,18.3,0.72,36.04,-110.72,145.65,-256.36,19005.26,17734.55,16463.84,,,,,,,,,,
03-Oct-25,28-Oct-25,DLF,Non-Hld,727.5,740,699.7,3.98,780.3,7.26,0.73,40.19,-12.86,-9.1,-3.75,799.88,751.67,703.47,,,,,,,,,,
03-Oct-25,28-Oct-25,DMART,Non-Hld,4420,4700,4306.6,2.64,5093.4,15.24,0.53,36.45,-24.55,18.11,-42.66,4846.35,4631.18,4416,,,,,,,,,,
03-Oct-25,28-Oct-25,DRREDDY,Non-Hld,1247.8,1300,1230.4,1.42,1369.6,9.77,0.66,42.95,-6.83,1.99,-8.82,1345.98,1284.42,1222.85,,,,,,,,,,
03-Oct-25,28-Oct-25,EICHERMOT,Non-Hld,6935,7000,6712.5,3.32,7287.5,5.09,0.67,65.36,210.82,247.56,-36.74,7126.85,6909.52,6692.2,,,,,,,,,,
03-Oct-25,28-Oct-25,ETERNAL,Non-Hld,328.2,320,295.95,10.9,344.05,4.83,0.63,53.41,3.26,4.94,-1.68,340.94,329.44,317.93,,,,,,,,,,
03-Oct-25,28-Oct-25,EXIDEIND,Non-Hld,398,400,380.15,4.7,419.85,5.49,0.71,46.42,-2.55,0.39,-2.94,435.67,409.19,382.7,,,,,,,,,,
03-Oct-25,28-Oct-25,FEDERALBNK,Non-Hld,192.25,200,189.7,1.35,210.3,9.39,0.64,43.72,-1.02,-0.9,-0.13,199.52,194.29,189.07,,,,,,,,,,
03-Oct-25,28-Oct-25,FORTIS,Non-Hld,980,1000,948.8,3.29,1051.2,7.27,0.83,60.13,13.77,14.69,-0.92,989.73,962.75,935.77,,,,,,,,,,
