Date,expiryDate,Symbol,Type,CMP,CMP_chg,CMP_pct_chg,CMP_trend,strikePrice,strikePrice_trend,Support,Support_chg,Support_pct_chg,Support_trend,Dist_from_Support,Dist_from_Support_trend,Resistance,Resistance_chg,Resistance_pct_chg,Resistance_trend,Dist_from_Resist,Dist_from_Resist_trend,PCR,PCR_trend,RSI,RSI_trend,MACD,MACD_trend,MACD_Signal,MACD_Signal_trend,MACD_Hist,MACD_Hist_trend,BB_HI,BB_HI_chg,BB_HI_pct_chg,BB_HI_trend,BB_MID,BB_MID_chg,BB_MID_pct_chg,BB_MID_trend,BB_LO,Dist_from_BB_HI,Dist_from_BB_LO,Sentiment,Call_B,Call_S,Puts_W,Puts_L,Call_W,Call_L,Puts_B,Puts_S,Tot_Strikes,BB-FnO
20-Nov-2025,25-Nov-2025,360ONE,Non-Hld,1143.0,68.0,6.33,up,1140.0,down,1119.25,44.15,4.11,up,2.12,up,1160.75,-164.15,-12.39,down,1.55,down,0.65,up,61.44,up,0.04,up,-2.09,up,2.12,up,1186.29,-12.84,-1.07,down,1106.35,-4.27,-0.38,down,1026.41,4 - Mild Bullish,2,6,8.0,6.0,0.0,4.0,0.0,0.0,20.0,,,Consolidation (Res-Sup Inside BB Range)
20-Oct-25,28-Oct-25,360ONE,Non-Hld,1190.6,71.5,6.39,up,1200.0,up,1157.85,52.55,4.75,up,2.83,up,1242.15,67.45,5.74,up,4.33,down,0.51,up,73.78,up,28.73,up,14.68,up,14.05,up,1189.1,-1.83,-0.15,down,1078.2,-29.52,-2.66,down,967.29,-0.13,23.09,,,,,,,,,,,Moderate Uptrend (Sup Near BB_MID to BB_HI)
21-Oct-25,28-Oct-25,360ONE,Non-Hld,1172.0,29.0,2.54,up,1200.0,up,1155.3,36.05,3.22,up,1.45,down,1244.7,83.95,7.23,up,6.21,up,0.46,down,70.8,up,30.72,up,17.89,up,12.84,up,1202.26,15.97,1.35,up,1084.45,-21.9,-1.98,down,966.63,2.58,21.25,,,,,,,,,,,Moderate Uptrend (Sup Near BB_MID to BB_HI)
23-Oct-25,28-Oct-25,360ONE,Non-Hld,1180.0,-10.6,-0.89,down,1200.0,unchanged,1161.6,3.75,0.32,up,1.58,down,1238.4,-3.75,-0.3,down,4.95,up,0.61,up,71.36,down,32.21,up,20.75,up,11.46,down,1213.11,24.01,2.02,up,1092.41,14.21,1.32,up,971.71,2.81,21.44,,,,,,,,,,,Moderate Uptrend (Sup Near BB_MID to BB_HI)
24-Oct-25,28-Oct-25,360ONE,Non-Hld,1184.1,12.1,1.03,up,1200.0,unchanged,1173.4,18.1,1.57,up,0.91,down,1226.6,-18.1,-1.45,down,3.59,down,0.64,up,72.45,up,37.4,up,25.49,up,11.91,down,1223.61,21.35,1.78,up,1100.37,15.92,1.47,up,977.13,3.34,21.18,,,,,,,,,,,Moderate Uptrend (Sup Near BB_MID to BB_HI)
27-Oct-25,28-Oct-25,360ONE,Non-Hld,1167.8,-12.2,-1.03,down,1140.0,down,1107.65,-53.95,-4.64,down,5.43,up,1172.35,-66.05,-5.33,down,0.39,down,0.67,up,69.62,down,33.51,up,25.26,up,8.26,down,1224.26,11.15,0.92,up,1102.61,10.2,0.93,up,980.95,4.83,19.05,,,,,,,,,,,Consolidation (Res-Sup Inside BB Range)
28-Oct-25,28-Oct-25,360ONE,Non-Hld,1169.8,-14.3,-1.21,down,1140.0,down,1107.65,-65.75,-5.6,down,5.61,up,1172.35,-54.25,-4.42,down,0.22,down,0.67,up,69.1,down,33.14,down,26.83,up,6.3,down,1226.29,2.68,0.22,up,1111.36,10.99,1.0,up,996.42,4.83,17.40,,,,,,,,,,,Consolidation (Res-Sup Inside BB Range)
29-Oct-25,25-Nov-25,360ONE,Non-Hld,1129.1,-38.7,-3.31,down,1200.0,up,1112.5,4.85,0.44,up,1.49,down,1287.5,115.15,9.82,up,14.03,up,0.62,down,53.06,down,28.87,down,27.24,up,1.63,down,1224.25,-0.01,-0.0,down,1116.52,13.91,1.26,up,1008.79,8.43,11.93,,,,,,,,,,,Neutral (BB_MID Between Res-Sup)
30-Oct-25,25-Nov-25,360ONE,Non-Hld,1121.5,-48.3,-4.13,down,1200.0,up,1108.3,0.65,0.06,up,1.19,down,1291.7,119.35,10.18,up,15.18,up,0.63,down,51.05,down,24.63,down,26.72,down,-2.09,down,1219.53,-6.76,-0.55,down,1121.56,10.2,0.92,up,1023.59,8.74,9.57,Bearish,0.0,0.0,3.0,2.0,5.0,6.0,1.0,5.0,19.0,Neutral (BB_MID Between Res-Sup)
31-Oct-25,25-Nov-25,360ONE,Non-Hld,1084.0,-45.1,-3.99,down,1200.0,unchanged,1083.0,-29.5,-2.65,down,0.09,down,1317.0,29.5,2.29,up,21.49,up,0.57,down,41.73,down,17.92,down,24.96,down,-7.04,down,1215.01,-9.24,-0.75,down,1124.03,7.51,0.67,up,1033.06,12.09,4.93,Bearish,0.0,0.0,0.0,0.0,9.0,4.0,10.0,2.0,19.0,Neutral (BB_MID Between Res-Sup)
03-Nov-25,25-Nov-25,ABB,Holding,5256.5,,,unchanged,5200.0,unchanged,4898.6,,,unchanged,7.31,unchanged,5501.4,,,unchanged,4.66,unchanged,0.9,unchanged,53.43,unchanged,7.83,unchanged,-0.92,unchanged,8.74,unchanged,5293.77,,,unchanged,5202.23,,,unchanged,5110.68,0.71,2.85,Bullish,9.0,4.0,12.0,5.0,3.0,0.0,1.0,1.0,34.0,Volatile Wide Range (BB within Res-Support)
03-Oct-25,28-Oct-25,ABB,Holding,5190.0,,,unchanged,5200.0,unchanged,4950.15,,,unchanged,4.85,unchanged,5449.85,,,unchanged,5.01,unchanged,0.72,unchanged,44.49,unchanged,-8.37,unchanged,3.14,unchanged,-11.51,unchanged,5450.37,,,unchanged,5248.96,,,unchanged,5047.55,5.02,2.82,,,,,,,,,,,Neutral (BB_MID Between Res-Sup)
04-Nov-25,25-Nov-25,ABB,Holding,5247.0,-9.5,-0.18,down,5200.0,unchanged,4907.0,8.4,0.17,up,6.93,down,5493.0,-8.4,-0.15,down,4.69,up,0.87,down,52.25,down,8.6,up,0.99,up,7.61,down,5296.65,2.88,0.05,up,5203.52,1.29,0.02,up,5110.4,0.95,2.67,Bearish,0.0,0.0,3.0,1.0,13.0,3.0,9.0,4.0,34.0,Volatile Wide Range (BB within Res-Support)
06-Nov-25,25-Nov-25,ABB,Holding,5205.0,15.0,0.29,up,5200.0,unchanged,4910.2,-39.95,-0.81,down,6.0,up,5489.8,39.95,0.73,up,5.47,up,0.75,up,50.65,up,7.83,up,2.36,down,5.47,up,5297.44,-152.93,-2.81,down,5203.95,-45.01,-0.86,down,5110.46,1.78,1.85,Bearish,0.0,0.0,0.0,1.0,17.0,2.0,16.0,3.0,34.0,Volatile Wide Range (BB within Res-Support)
06-Oct-25,28-Oct-25,ABB,Holding,5233.0,-14.0,-0.27,down,5200.0,unchanged,4947.8,40.8,0.83,up,5.77,down,5452.2,-40.8,-0.74,down,4.19,down,0.61,down,48.1,down,-8.58,down,0.8,down,-9.37,down,5446.85,150.2,2.84,up,5253.99,50.47,0.97,up,5061.13,4.09,3.40,,,,,,,,,,,Volatile Wide Range (BB within Res-Support)
07-Nov-25,25-Nov-25,ABB,Holding,5011.5,-193.5,-3.72,down,5200.0,unchanged,4908.6,-1.6,-0.03,down,2.1,down,5491.4,1.6,0.03,up,9.58,up,0.72,down,35.26,down,-9.73,down,-0.06,down,-9.67,down,5318.78,21.34,0.4,up,5198.35,-5.6,-0.11,down,5077.92,6.13,-1.31,Bearish,0.0,0.0,1.0,0.0,17.0,6.0,16.0,7.0,38.0,Volatile Wide Range (BB within Res-Support)
07-Oct-25,28-Oct-25,ABB,Holding,5224.0,-9.0,-0.17,down,5300.0,up,5039.1,91.3,1.85,up,3.67,down,5560.9,108.7,1.99,up,6.45,up,0.63,up,48.26,up,-8.52,up,-1.07,down,-7.45,up,5441.39,-5.46,-0.1,down,5259.55,5.56,0.11,up,5077.71,4.16,2.88,,,,,,,,,,,Volatile Wide Range (BB within Res-Support)
08-Oct-25,28-Oct-25,ABB,Holding,5110.5,99.0,1.98,up,5300.0,up,5000.05,91.45,1.86,up,2.21,up,5599.95,108.55,1.98,up,9.58,unchanged,0.62,down,40.28,up,-15.64,down,-3.98,down,-11.66,down,5441.7,122.92,2.31,up,5259.38,61.03,1.17,up,5077.06,6.48,0.66,,,,,,,,,,,Volatile Wide Range (BB within Res-Support)
09-Oct-25,28-Oct-25,ABB,Holding,5151.0,-73.0,-1.4,down,5300.0,unchanged,5035.3,-3.8,-0.08,down,2.3,down,5564.7,3.8,0.07,up,8.04,up,0.63,unchanged,42.31,down,-19.6,down,-7.11,down,-12.5,down,5442.69,1.3,0.02,up,5258.61,-0.94,-0.02,down,5074.53,5.66,1.51,,,,,,,,,,,Volatile Wide Range (BB within Res-Support)
10-Nov-25,25-Nov-25,ABB,Holding,4995.0,-115.5,-2.26,down,5200.0,down,4924.3,-75.75,-1.51,down,1.44,down,5475.7,-124.25,-2.22,down,9.62,up,0.66,up,33.08,down,-25.35,down,-4.23,down,-21.12,down,5344.44,-97.26,-1.79,down,5193.52,-65.86,-1.25,down,5042.61,7.00,-0.94,3 - Mild Bearish,0.0,2.0,11.0,6.0,15.0,6.0,1.0,3.0,38.0,Volatile Wide Range (BB within Res-Support)
10-Oct-25,28-Oct-25,ABB,Holding,5188.0,37.0,0.72,up,5300.0,unchanged,5062.75,27.45,0.55,up,2.48,up,5537.25,-27.45,-0.49,down,6.74,down,0.65,up,46.6,up,-19.33,up,-9.55,down,-9.78,up,5443.02,0.33,0.01,up,5257.0,-1.61,-0.03,down,5070.99,4.92,2.31,,,,,,,,,,,Volatile Wide Range (BB within Res-Support)
11-Nov-25,25-Nov-25,ABB,Holding,4976.0,-19.0,-0.38,down,5200.0,unchanged,4913.25,-11.05,-0.22,down,1.28,down,5486.75,11.05,0.2,up,10.26,up,0.66,unchanged,32.35,down,-38.47,down,-11.08,down,-27.39,down,5362.03,17.59,0.33,up,5185.08,-8.44,-0.16,down,5008.12,7.76,-0.64,1 - Very Bearish,0.0,0.0,2.0,2.0,12.0,8.0,6.0,4.0,38.0,Volatile Wide Range (BB within Res-Support)
12-Nov-25,25-Nov-25,ABB,Holding,4933.0,-255.0,-4.92,down,5000.0,down,4795.6,-267.15,-5.28,down,2.87,up,5204.4,-332.85,-6.01,down,5.5,down,0.64,down,29.5,down,-52.66,down,-19.39,down,-33.26,down,5384.35,-58.67,-1.08,down,5175.3,-81.7,-1.55,down,4966.25,9.15,-0.67,1 - Very Bearish,0.0,1.0,0.0,0.0,14.0,8.0,10.0,4.0,38.0,Neutral (BB_MID Between Res-Sup)
13-Nov-25,25-Nov-25,ABB,Holding,4907.5,-68.5,-1.38,down,5000.0,down,4796.75,-116.5,-2.37,down,2.31,up,5203.25,-283.5,-5.17,down,6.03,down,0.6,down,28.95,down,-64.05,down,-28.33,down,-35.73,down,5400.57,38.54,0.72,up,5162.27,-22.81,-0.44,down,4923.98,10.05,-0.33,1 - Very Bearish,0.0,2.0,3.0,3.0,12.0,9.0,1.0,10.0,39.0,Neutral (BB_MID Between Res-Sup)
13-Oct-25,28-Oct-25,ABB,Holding,5130.0,197.0,3.99,up,5300.0,up,5053.1,257.5,5.37,up,1.53,down,5546.9,342.5,6.58,up,8.13,up,0.63,down,43.23,up,-21.97,up,-12.04,up,-9.94,up,5444.0,59.65,1.11,up,5251.95,76.65,1.48,up,5059.9,6.12,1.39,,,,,,,,,,,Volatile Wide Range (BB within Res-Support)
14-Nov-25,25-Nov-25,ABB,Holding,4960.0,52.5,1.07,up,5000.0,unchanged,4828.95,32.2,0.67,up,2.71,up,5171.05,-32.2,-0.62,down,4.26,down,0.61,up,33.76,up,-69.1,down,-36.48,down,-32.62,up,5403.11,2.54,0.05,up,5149.3,-12.97,-0.25,down,4895.49,8.93,1.32,4 - Mild Bullish,5.0,4.0,6.0,10.0,7.0,5.0,0.0,0.0,39.0,Neutral (BB_MID Between Res-Sup)
14-Oct-25,28-Oct-25,ABB,Holding,5100.0,-30.0,-0.58,down,5300.0,unchanged,5037.3,-15.8,-0.31,down,1.25,down,5562.7,15.8,0.28,up,9.08,up,0.6,down,40.9,down,-26.03,down,-14.83,down,-11.19,down,5436.95,-7.05,-0.13,down,5240.98,-10.97,-0.21,down,5045.02,6.61,1.09,,,,,,,,,,,Volatile Wide Range (BB within Res-Support)
15-Oct-25,28-Oct-25,ABB,Holding,5181.5,221.5,4.47,up,5200.0,up,5007.6,178.65,3.7,up,3.48,up,5392.4,221.35,4.28,up,4.08,down,0.6,down,46.84,up,-24.6,up,-16.79,up,-7.81,up,5423.71,20.6,0.38,up,5232.21,82.91,1.61,up,5040.71,4.67,2.79,,,,,,,,,,,Neutral (BB_MID Between Res-Sup)
16-Oct-25,28-Oct-25,ABB,Holding,5200.0,100.0,1.96,up,5200.0,down,5013.8,-23.5,-0.47,down,3.72,up,5386.2,-176.5,-3.17,down,3.59,down,0.66,up,50.64,up,-20.12,up,-17.45,down,-2.67,up,5401.66,-35.29,-0.65,down,5223.52,-17.46,-0.33,down,5045.38,3.88,3.06,,,,,,,,,,,Neutral (BB_MID Between Res-Sup)
17-Nov-25,25-Nov-25,ABB,Holding,5046.0,-135.5,-2.62,down,5200.0,unchanged,5010.4,2.8,0.06,up,0.71,down,5389.6,-2.8,-0.05,down,6.81,up,0.63,up,43.11,down,-65.16,down,-42.22,down,-22.95,down,5398.04,-25.67,-0.47,down,5141.27,-90.94,-1.74,down,4884.51,6.98,3.31,4 - Mild Bullish,4.0,13.0,4.0,17.0,0.0,5.0,0.0,1.0,39.0,Consolidation (Res-Sup Inside BB Range)
17-Oct-25,28-Oct-25,ABB,Holding,5200.0,0.0,0.0,unchanged,5300.0,up,5114.15,100.35,2.0,up,1.68,down,5485.85,99.65,1.85,up,5.5,up,0.63,down,49.65,down,-17.19,up,-17.4,up,0.21,up,5360.98,-40.68,-0.75,down,5211.82,-11.7,-0.22,down,5062.66,3.10,2.71,,,,,,,,,,,Neutral (BB_MID Between Res-Sup)
18-Nov-25,25-Nov-25,ABB,Holding,5075.0,29.0,0.57,up,5200.0,unchanged,5026.95,16.55,0.33,up,0.96,up,5373.05,-16.55,-0.31,down,5.87,down,0.59,down,46.66,up,-58.23,up,-45.42,down,-12.81,up,5388.31,-9.73,-0.18,down,5133.73,-7.54,-0.15,down,4879.14,6.17,4.01,4 - Mild Bullish,7.0,12.0,3.0,21.0,1.0,4.0,0.0,1.0,39.0,Consolidation (Res-Sup Inside BB Range)
19-Nov-25,25-Nov-25,ABB,Holding,5074.0,-126.0,-2.42,down,5200.0,down,5038.75,-75.4,-1.47,down,0.7,down,5361.25,-124.6,-2.27,down,5.66,up,0.57,down,46.89,down,-51.93,down,-46.72,down,-5.21,down,5376.52,15.54,0.29,up,5125.88,-85.94,-1.65,down,4875.23,5.96,4.08,1 - Very Bearish,0.0,0.0,2.0,12.0,10.0,13.0,1.0,6.0,39.0,Consolidation (Res-Sup Inside BB Range)
20-Nov-2025,25-Nov-2025,ABB,Holding,5143.0,68.0,1.34,up,5500.0,up,5108.6,81.65,1.62,up,0.67,down,5891.4,518.35,9.65,up,14.55,up,0.62,up,52.51,up,-41.3,up,-45.64,down,4.34,up,5373.71,-14.6,-0.27,down,5124.15,-9.58,-0.19,down,4874.59,4 - Mild Bullish,2,10,5.0,18.0,0.0,8.0,0.0,1.0,39.0,,,Neutral (BB_MID Between Res-Sup)
20-Oct-25,28-Oct-25,ABB,Holding,5235.0,161.0,3.17,up,5300.0,up,5145.5,106.75,2.12,up,1.74,up,5454.5,93.25,1.74,up,4.2,down,0.63,up,52.6,up,-12.34,up,-16.39,up,4.05,up,5310.05,-66.47,-1.24,down,5201.55,75.67,1.48,up,5093.05,1.43,2.79,,,,,,,,,,,Neutral (BB_MID Between Res-Sup)
