Symbol,Type,Sentiment
CHOLAFIN,Non-Hld,3
TORNTPOWER,Non-Hld,2
POWERGRID,Holding,2
INOXWIND,Non-Hld,2
INDIANB,Non-Hld,2
PGEL,Non-Hld,2
BANKBARODA,Non-Hld,2
BHARATFORG,Non-Hld,2
BEL,Holding,2
AXISBANK,Non-Hld,2
HFCL,Non-Hld,2
JSWSTEEL,Non-Hld,2
NYKAA,Non-Hld,2
NHPC,Non-Hld,2
ABB,Holding,1
DLF,Non-Hld,1
BAJAJ-AUTO,Non-Hld,1
HAL,Non-Hld,1
GRASIM,Non-Hld,1
NBCC,Non-Hld,1
LODHA,Non-Hld,1
KAYNES,Non-Hld,1
MUTHOOTFIN,Non-Hld,1
NCC,Non-Hld,1
PAYTM,Non-Hld,1
TATAPOWER,Non-Hld,1
PRESTIGE,Non-Hld,1
PIIND,Non-Hld,1
PHOENIXLTD,Non-Hld,1
TVSMOTOR,Non-Hld,1
TMPV,Non-Hld,1
VBL,Non-Hld,1
SAIL,Non-Hld,0
